# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
1.589999961853027e+01	+4.859906709344307e-02	+5.352803903792547e-01	+2.121209444137088e-18
1.600000000000000e+01	+4.882432124167389e-02	+5.436108208672323e-01	+2.135912581506174e-18
1.610000038146973e+01	+4.890100570703879e-02	+5.529541424919531e-01	+2.148640894285681e-18
1.620000076293945e+01	+4.808924642095106e-02	+5.599696008662085e-01	+2.167667470690908e-18
1.629999923706055e+01	+4.697549487154461e-02	+5.642399660308118e-01	+2.187258811277111e-18
1.639999961853027e+01	+4.579703366489298e-02	+5.682537024972256e-01	+2.202899672751225e-18
1.650000000000000e+01	+4.510967907932219e-02	+5.734444874474290e-01	+2.215878835638801e-18
1.660000038146973e+01	+4.464709263685087e-02	+5.781911683150178e-01	+2.227356928643078e-18
1.670000076293945e+01	+4.434000803679641e-02	+5.827484191821297e-01	+2.237869324372191e-18
1.679999923706055e+01	+4.384334797421814e-02	+5.852407295184375e-01	+2.245071033284529e-18
1.689999961853027e+01	+4.346469241135419e-02	+5.871777538836928e-01	+2.249196819342023e-18
1.700000000000000e+01	+4.355214579627864e-02	+5.902311921871417e-01	+2.252568549133089e-18
1.710000038146973e+01	+4.347964609508521e-02	+5.913363243325171e-01	+2.253324947711725e-18
1.720000076293945e+01	+4.342909215734798e-02	+5.919683379984381e-01	+2.250893790130216e-18
1.729999923706055e+01	+4.347420078929730e-02	+5.925966675941291e-01	+2.249533079583711e-18
1.739999961853027e+01	+4.357611558437589e-02	+5.933696703756810e-01	+2.240712458916972e-18
1.750000000000000e+01	+4.385170202662080e-02	+5.935088735280385e-01	+2.239294367018768e-18
1.760000038146973e+01	+4.397494864108470e-02	+5.931924731013074e-01	+2.234971620369518e-18
1.770000076293945e+01	+4.397938642596756e-02	+5.926816755679682e-01	+2.228539250225492e-18
1.779999923706055e+01	+4.430524398188415e-02	+5.922257895563404e-01	+2.224701630706092e-18
1.789999961853027e+01	+4.427602073429356e-02	+5.909083307903295e-01	+2.219900728591599e-18
1.800000000000000e+01	+4.438519124432225e-02	+5.901065490497012e-01	+2.214823146565922e-18
1.810000038146973e+01	+4.449274429056761e-02	+5.888661515423902e-01	+2.212110607900498e-18
1.820000076293945e+01	+4.467548525438481e-02	+5.879508774255661e-01	+2.207776108435838e-18
1.829999923706055e+01	+4.488908923731173e-02	+5.875794604640526e-01	+2.203823936855211e-18
1.839999961853027e+01	+4.517863724967531e-02	+5.876586438040423e-01	+2.196463525368604e-18
1.850000000000000e+01	+4.560391179128657e-02	+5.875333014542891e-01	+2.195930041793052e-18
